name,winrate_ranked,time_held,damage
RocketLance,56%,138,214
Axe,54%,127,197
Hammer,53%,124,183
Spear,53%,125,204
Bow,53%,130,199
Katar,52%,122,177
Fists,52%,132,188
Pistol,52%,120,173
Sword,51%,118,165
Scythe,50%,146,199
Cannon,50%,139,208
Greatsword,26%,75,128
Orb,26%,63,96
